word,boundaries,gloss,lemma,POS,,,
,,,,,,,
ɲur,ɲu-r-∅,выходить-nfut-3pl,ɲɵdej,VERB,,,
arčan,arčan-∅-∅,выходить.на.встречу-nfut-3pl,arčandaj,VERB,,,
",",,,,PUNCT,,,
jami,jami,почему,jami,ADV,,,
itte,it-te-⊘,видеть-nfut-3pl,ittej,VERB,,,
elen,elen,бравый,elen,ADJ,,,
urken,urken,парень,,NOUN,,,
baduriw,badu-ri-w,ехать.верхом-ptc.nfut-acc,badudaj,VERB,448,,
",",,,,PUNCT,,,
anilattəw,ani-la-t-tə-w,нарядиться-tr-prog-ptc.nfut-acc,,VERB,449,,
neimekič,nei-meki-č,новый-idk-ins,,ADJ,450,,
tetəč,tetə-č,одежда-ins,,NOUN,451,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
328,,,,,,,
"inundelnə ač mudna elgun, ullew insil.",,,,,,,
"За ним длинный косяк вьючных, нагруженных мясом.",,,,,,,
,,,,,,,
inundelnə,in-u-n-de-l-nə,нести.на.спине-ad-iter-ptc.nfut-pl-poss.3sg,,VERB,452,,
ač,ač,neg,eč,PART,,,
mudna,mud-na,конец-adj.negposs,mudan,NOUN,,,
elgun,elgun,упряжь,elgun,NOUN,,,
",",,,,PUNCT,,,
ullew,ulle-w,мясо-acc,ulle,NOUN,,,
insil,in-si-l,нести.на.спине-ptc.nfut-pl,,VERB,453,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
329,,,,,,,
"belle inegemelčir urgew erukelben, orolban multukatte.",,,,,,,
"Сразу помогли разгрузить тяжёлые сумы, отпустить оленей.",,,,,,,
,,,,,,,
belle,bel-le-∅,помогать-nfut-3pl,,VERB,454,,
inegemelčir,inege-melči-r-∅,разгрузить-clr-nfut-3pl,,VERB,455,,
urgew,urge-w,тяжелый-acc,,ADJ,456,,
erukelben,eruke-l-be-n,походная.сумка-pl-acc-poss.3sg,,NOUN,457,,
",",,,,PUNCT,,,
orolban,oro-l-ba-n,олень-pl-acc-poss.3sg,,NOUN,458,,
multukatte,multu-kat-te-∅,освободить-mult-nfut-3pl,,VERB,459,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
330,,,,,,,
gun iden:,,,,,,,
Приглашают:,,,,,,,
,,,,,,,
gun,gun-∅-∅,сказать-nfut-3pl,,VERB,460,,
iden,i-de-n,входить-purp-3sg,,VERB,461,,
:,,,,PUNCT,,,
,,,,,,,
,,,,,,,
331,,,,,,,
"- isoləlu, mata.",,,,,,,
"— Заходи, незнакомец.",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
isoləlu,i-so-lə=lu,входить-incmp-imp=emph,,VERB,462,,
",",,,,PUNCT,,,
mata,mata,дружище,mata,NOUN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
332,,,,,,,
- esemde erek bi Oje ďulan emne? - urkedukut ulgemnen elen bej nulgelen.,,,,,,,
— А не в жилище Ое я попал? — спрашивает у порога бравый кочевник.,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
esemde,e-se-m=de,neg.aux-nfut-1sg=add,,VERB,463,,
erek,erek,dem.prox,erek,ADV,,,
bi,bi,я,bi,PRON,,,
Oje,Oje,Ое,Oje,PROPN,,,
ďulan,ďu-la-n,дом-loc-poss.3sg,d'u,NOUN,,,
emne,em-ne,приходить-cvb.neg,emdej,VERB,,,
?,,,,PUNCT,,,
-,,,,PUNCT,,,
urkedukut,urke-duku=t,вход-abl=foc,,NOUN,464,,
ulgemnen,ulgem-ne-n,спрашивать-nfut-3sg,ulgimidej,VERB,,,
elen,elen,бравый,elen,ADJ,,,
bej,bej,человек,bej,NOUN,,,
nulgelen,nulge-le-n,караван-loc-poss.3sg,,NOUN,465,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
333,,,,,,,
"- gowette, noŋan mirneďin bisiwen, onteč nodu, g'ewen osikatan dawčawan!",,,,,,,
"- Говорят, что у него и невеста есть, красивая, как утренняя звезда?",,,,,,,
,,,,,,,
-,,,,PUNCT,,,
gowette,go-wet-te-∅,сказать-freq-nfut-3pl,gɵwettej,VERB,,,
",",,,,PUNCT,,,
noŋan,noŋa-n,он-poss.3sg,noŋan,PRON,,,
mirneďin,mirne-ďi-n,жениться-fut-3sg,,VERB,466,,
bisiwen,bi-si-we-n,быть-ptc.nfut-acc-poss.3sg,,VERB,467,,
",",,,,PUNCT,,,
onteč,onteč,как.же,,ADV,,,
nodu,nod-u,красивый-acc,,ADJ,468,,
",",,,,PUNCT,,,
g'ewen,g'ewen,рассвет,,NOUN,469,,
osikatan,osikata-n,звезда-poss.3sg,,NOUN,470,,
dawčawan,daw-ča-wa-n,idk-ptc.pst-acc-poss.3sg,,VERB,471,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
334,,,,,,,
"Ilikkaja, ɲumulləďi, dəknen elbek čidadun, giinnə.",,,,,,,
"Иликкая, застеснявшись, спряталась за полог, затаилась.",,,,,,,
,,,,,,,
Ilikkaja,ilikkaja,Иликкая,Ilikkaja,PROPN,,,
",",,,,PUNCT,,,
ɲumulləďi,ɲumu-l-ləďi,смущаться-inch-ant.sg,,VERB,472,,
",",,,,PUNCT,,,
dəknen,dək-ne-n,спрятаться-nfut-3sg,,VERB,473,,
elbek,elbek,полог,,NOUN,474,,
čidadun,čida-du-n,другая.сторона-dat-poss.3sg,,ADP,475,,
",",,,,PUNCT,,,
giinnə,gii-n-nə,молчать-nfut-3sg,,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
335,,,,,,,
"ďebeddəďur, omnet uteďildewer, unuwkatte olieďur:",,,,,,,
После ужина попросили гостя:,,,,,,,
,,,,,,,
ďebeddəďur,ďebe-d-dəďu-r,кушать-prog-ant-pl,,VERB,476,,
",",,,,PUNCT,,,
omnet,omnet,сначала,,ADV,,,
uteďildewer,uteďil-de-wer,idk,,VERB,477,,
",",,,,PUNCT,,,
unuwkatte,unu-w-kat-te,понимать-ad-mult-nfut,,VERB,478,,
olieďur,olieď-ur,гость-poss.refl.pl,,NOUN,479,,
:,,,,PUNCT,,,
,,,,,,,
,,,,,,,
336,,,,,,,
- nimkasnekes aič uklesendewer.,,,,,,,
— Расскажи сказку перед сном.,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
nimkasnekes,nimka-sne-∅-kes,рассказывать.сказку-mom-nfut-2sg,,VERB,480,,
aič,ai-č,хороший-ins,aič,ADV,,,
uklesendewer,uklesen-de-wer,ложиться.спать-purp-poss.refl.pl,,VERB,481,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
337,,,,,,,
"nan urep nimkanďiďillen, on agdagal biddəten.",,,,,,,
"И тот поведал им, как жили братья.",,,,,,,
,,,,,,,
nan,nan,и,,CCONJ,,,
urep,urep,прежний,ɵrep,ADJ,,,
nimkanďiďillen,nimkan-ďiďi-l-le-n,рассказывать.сказку-prog-inch-nfut-3sg,,VERB,482,,
",",,,,PUNCT,,,
on,on,как,on,ADV,,,
agdagal,agda-gal,старший.брат-pl,agda,NOUN,,,
biddəten,bi-d-də-ten,быть-prog-pst-3pl,bidej,VERB,483,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
338,,,,,,,
"on, bujumi, ďulawar nuwur emewette, ojew, kab'ewu urkečiddan.",,,,,,,
"Как, уезжая на охоту, они оставляли дома младшего, Ое, который ставил петли на куропаток.",,,,,,,
,,,,,,,
on,on,как,on,ADV,,,
",",,,,PUNCT,,,
bujumi,buju-mi,идти.на.охоту-cond.ss,,VERB,484,,
",",,,,PUNCT,,,
ďulawar,ďu-la-war,дом-loc-poss.refl.pl,,NOUN,485,,
nuwur,nu-wur,младший.брат-poss.refl.pl,,NOUN,,,
emewette,eme-wet-te-∅,приходить-freq-nfut-3pl,,VERB,486,,
",",,,,PUNCT,,,
ojew,oje-w,Ое-acc,Oje,PROPN,,,
",",,,,PUNCT,,,
kab'ewu,kab'ew-u,куропатка-acc,,NOUN,487,,
urkečiddan,urke-či-d-da-n,петля-res-prog-nfut-3sg,,NOUN,488,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
339,,,,,,,
tarknun elekes orča tekčakan bellən umkenən Oje čelewen niseč odan.,,,,,,,
И как однажды горная куропатка помогла Ое стать удачливым во всём.,,,,,,,
,,,,,,,
tarknun,tark-nun,dem.dist-com,tarak,ADV,,,
elekes,elekes,сперва,elekes,ADV,,,
orča,or-ča,попасть-ptc.pst,,VERB,489,,
tekčakan,tekčakan,полярная.куропатка,t'akčakan,NOUN,,,
bellən,bel-lə-n,помогать-pst-3sg,,VERB,490,,
umkenən,umke-nə-n,шептать-pst-3sg,,VERB,491,,
Oje,Oje,Ое,Oje,PROPN,,,
čelewen,čele-we-n,весь-acc-poss.3sg,,ADJ,,,
niseč,nise-č,счастье-ins,,NOUN,,,
odan,o-da-n,стать-purp-3sg,odaj,VERB,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
340,,,,,,,
"časki, on Oje uluteddən Ilikkajaw, gulkečen odəďi derimečidčew noŋandukun.",,,,,,,
"О том, как Ое преследовал Иликкаю, оленухой убегавшую от него.",,,,,,,
,,,,,,,
časki,časki,дальше,časki,ADJ,,,
",",,,,PUNCT,,,
on,on,как,on,ADV,,,
Oje,Oje,Ое,Oje,PROPN,,,
uluteddən,ulu-te-d-də-n,гнаться-res-prog-pst-3sg,,VERB,492,,
Ilikkajaw,Ilikkaja-w,Иликая-acc,,PROPN,493,,
",",,,,PUNCT,,,
gulkečen,gulke-čen,важенка-dim,,NOUN,,,
odəďi,o-dəďi,стать-ant.sg,odaj,VERB,,,
derimečidčew,derime-či-d-če-w,убегать-res-prog-ptc.pst-acc,,VERB,494,,
noŋandukun,noŋan-duku-n,он-abl-poss.3sg,,PRON,495,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
341,,,,,,,
"unur tarakam čeleďur, nimkalan-bejďi Oje.",,,,,,,
"Поняли тут, что сказитель — сам Ое.",,,,,,,
,,,,,,,
unur,unu-r,понимать-cvb.neg,unudaj,VERB,,,
tarakam,taraka-m,dem.dist-acc,tarak,ADV,,,
čeleďur,čele-ďur,весь-ins.poss.refl.pl,,ADJ,,,
",",,,,PUNCT,,,
nimkalan,nimka-lan,сказка-adj.hq,,NOUN,496,,
bejďi,bej-ďi,человек-ins.poss.refl.sg,bej,NOUN,,,
Oje,Oje,Ое,Oje,PROPN,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
342,,,,,,,
"Ilikkaja amnak tumtenukennə nan iwren Oje kosalandu men eləwmi ɲorii, tarič nan gumi mirendei ajawalləi.",,,,,,,
"Иликкая вышла и вручила Ое Стремительному свой именной посох, выражая тем самым согласие выйти замуж.",,,,,,,
,,,,,,,
Ilikkaja,ilikkaja,Иликкая,Ilikkaja,PROPN,,,
amnak,amnak,быстро,amnak,ADV,,,
tumtenukennə,tumten-uken-∅-nə,idk-caus-nfut-3sg,,VERB,497,,
nan,nan,и,,CCONJ,,,
iwren,i-w-re-n,входить-ad-nfut-3sg,,VERB,498,,
Oje,Oje,Ое,Oje,PROPN,,,
kosalandu,kosalan-du,стремительный-dat,,ADJ,499,,
men,men,refl,meni,PRON,,,
eləwmi,eləw-mi,idk-poss.refl.sg,,NOUN,500,,
ɲorii,ɲori-i,наконечник.женского.посоха-poss.refl.sg,,NOUN,501,,
",",,,,PUNCT,,,
tarič,tari-č,dem.dist-ins,tarak,ADV,,,
nan,nan,и,,CCONJ,,,
gumi,gu-mi,высказывание-poss.refl.sg,gɵn,NOUN,502,,
mirendei,miren-de-i,жениться-purp-poss.refl.sg,,VERB,503,,
ajawalləi,ajawa-l-lə-i,любить-inch-ptc.nfut-poss.refl.sg,,VERB,504,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
343,,,,,,,
tarak nimkandula ečin.,,,,,,,
"Ну, это в сказке так.",,,,,,,
,,,,,,,
tarak,tarak,dem.dist,tarak,ADV,,,
nimkandula,nimkan-dula,сказка-loc,,NOUN,505,,
ečin,ečin,этак,ečin,ADV,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
344,,,,,,,
"təkesi tək ajmat ɲulle toleski, ɲaninnun bawutteken.",,,,,,,
"А сейчас лучше выйдите на улицу, если небо ясное.",,,,,,,
,,,,,,,
təkesi,təke=si,сейчас=emph,,ADV,506,,
tək,tək,сейчас,t'ek,ADV,,,
ajmat,ajmat,лучше,,ADJ,507,,
ɲulle,ɲu-lle,выходить-imp.2pl,,VERB,508,,
toleski,tole-ski,наружу-dir.adv,наружу,ADV,,,
",",,,,PUNCT,,,
ɲaninnun,ɲanin-nun,небо-com,,NOUN,509,,
bawutteken,bawut=teken,прояснение=restr,,NOUN,510,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
345,,,,,,,
"tarakam itčis iser g'ewen utalləlan umemte tegelə ičuwum osikatu, oročil Ilikkajač guldəwmuten.",,,,,,,
"И всегда увидите в вечерних отблесках зари яркую звезду, которую эвены зовут Иликкая — Венера.",,,,,,,
,,,,,,,
tarakam,taraka-m,dem.dist-acc,tarak,ADV,,,
itčis,it-či-s,видеть-fut-2pl,,VERB,511,,
iser,ise-r,вечер-adj.time,,ADJ,512,,
g'ewen,g'ewen,рассвет,,NOUN,513,,
utalləlan,utal-lə-la-n,сверкать-ptc.nfut-loc-poss.3sg,,VERB,514,,
umemte,ume-m=te,один-acc=add,,ADJ,515,,
tegelə,tege-lə,даль-loc,,NOUN,516,,
ičuwum,ičuwu-m,заметный-acc,,ADJ,517,,
osikatu,osikat-u,звезда-acc,osikat,NOUN,,,
",",,,,PUNCT,,,
oročil,oroči-l,эвен-pl,,NOUN,518,,
Ilikkajač,Ilikkaja-č,Иликкая-ins,,PROPN,519,,
guldəwmuten,gu-ldəw-mu-ten,сказать-nmz.tool-acc-poss.3pl,,NOUN,520,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
346,,,,,,,
ɲadasukan odeken čelelən ɲanindulə mudariklan ičusnotten Oje kosalan ireklə uldamkinnə - umuttə oteren.,,,,,,,
А позже на небе виден всему миру след Ое Стремительного — Млечный Путь.,,,,,,,
,,,,,,,
ɲadasukan,ɲada=sukan,поздний=appr,,ADJ,521,,
odeken,o-deken,стать-sim.sg,,VERB,522,,
čelelən,čele-lə-n,весь-prol-poss.3sg,,DET,523,,
ɲanindulə,ɲanin-dulə,небо-prol,,NOUN,,,
mudariklan,muda-ri-kla-n,конец-pl-dloc-poss.3sg,,NOUN,524,,
ičusnotten,ič-u-sn-ot-te-n,видеть-ad-mom-freq-nfut-3sg,ičudej,VERB,,,
Oje,Oje,Ое,Oje,PROPN,,,
kosalan,kosalan,стремительный,kosalan,ADJ,,,
ireklə,irek-lə,dem.q-prol,,PRON,525,,
uldamkinnə,ul-da-mkin-nə,лыжи-act-nmz.loc-poss.3sg,,NOUN,526,,
-,,,,PUNCT,,,
umuttə,umut-tə,idk-ptc.nfut,,X,527,,
oteren,oteren,дорога,otaran,NOUN,528,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
347,,,,,,,
"tar tačin ereger mudnotten erek ereglen, osikat Ilikkajagčin, nimkan.",,,,,,,
"Так всегда заканчивается эта вечная, как звезда, сказка.",,,,,,,
,,,,,,,
tar,tar,dem.dist,tarak,ADV,,,
tačin,tačin,так,tačin,ADV,,,
ereger,ereger,всегда,ereger,ADV,,,
mudnotten,mud-not-te-n,заканчиваться-freq-nfut-3sg,,VERB,529,,
erek,erek,dem.prox,erek,ADV,,,
ereglen,ereglen,вечный,,ADJ,530,,
",",,,,PUNCT,,,
osikat,osikat,звезда,osikat,NOUN,,,
Ilikkajagčin,Ilikkaja-gčin,Иликкая-equ,,PROPN,531,,
",",,,,PUNCT,,,
nimkan,nimkan,сказка,,NOUN,532,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
348,,,,,,,
*****,глоссированная форма,,,POS,,,
*****,глоссированная форма,,,POS,,,
,,,,,,,
*****,глоссированная форма,,,POS,,,
,,,,,,,
,,,,,,,
349,,,,,,,
4.. Oje bələddən noseγčerdul,,,,,,,
4.. Ое выручает братьев,,,,,,,
,,,,,,,
4..,4..,,,,,,
Oje,Oje,Ое,Oje,PROPN,,,
bələddən,bələ-d-də-n,помогать-prog-pst-3sg,,VERB,533,,
noseγčerdul,noseγ-če-r-du-l,молодой-dim2-pl-dat-idk,,ADJ,534,,
,,,,,,,
,,,,,,,
350,,,,,,,
"ɲan-da Oje emebdən ďula, noseγčer urritən čeleďur awəškiwuč.",,,,,,,
"Как обычно, Ое остался дома, когда братья один за другим ушли, кто куда.",,,,,,,
,,,,,,,
ɲan,ɲan,и,ɲan,CCONJ,,,
da,da,add,,PART,535,,
Oje,Oje,Ое,Oje,PROPN,,,
emebdən,eme-b-də-n,приходить-med-pst-3sg,,VERB,536,,
ďula,ďu-la,дом-loc,d'u,NOUN,,,
",",,,,PUNCT,,,
noseγčer,noseγ-če-r,молодой-dim2-pl,,ADJ,537,,
urritən,ur-ri-tən,уходить-pst-3pl,ɵrdej,VERB,,,
čeleďur,čele-ďur,все-ins.poss.refl.pl,čeled'ur,ADJ,,,
awəškiwuč,awəški=wuč,куда=indef,awaski,ADV,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
351,,,,,,,
"Oje alačiddən noŋərbutən umən inəw, ɲan ďur inəw, ɲan oja-da inəŋu.",,,,,,,
"Ждёт их Ое день, два, много дней.",,,,,,,
,,,,,,,
Oje,Oje,Ое,Oje,PROPN,,,
alačiddən,alači-d-də-n,ждать-prog-pst-3sg,alattaj,VERB,,,
noŋərbutən,noŋə-r-bu-tən,он-pl-acc-poss.3pl,noŋan,PRON,,,
umən,umən,один,,NUM,538,,
inəw,inə-w,день-acc,,NOUN,,,
",",,,,PUNCT,,,
ɲan,ɲan,и,ɲan,CCONJ,,,
ďur,ďur,два,д'ɵр,NUM,,,
inəw,inə-w,день-acc,,NOUN,,,
",",,,,PUNCT,,,
ɲan,ɲan,и,ɲan,CCONJ,,,
oja,oja,много,,ADV,539,,
da,da,add,,PART,540,,
inəŋu,inəŋ-u,день-acc,,NOUN,541,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
352,,,,,,,
"menken-de ďimšin ilqən, irəptu irqami əšin čimčaďillən.",,,,,,,
"Самому есть хочется так, что рукоятку ножа сосёт от голода.",,,,,,,
,,,,,,,
menken,men-ken,refl-dim,menken,ADV,,,
de,de,add,,PART,542,,
ďimšin,ďi-m-ši-n,кушать-desid-pst-poss.3sg,,INTJ,,,
ilqən,ilqən,вот.как,ilken,PART,,,
",",,,,PUNCT,,,
irəptu,irəptu,conseq,ireptu,SCONJ,,,
irqami,irqa-mi,нож-poss.refl.sg,,NOUN,543,,
əšin,əši-n,рукоятка-poss.3sg,,NOUN,544,,
čimčaďillən,čimča-ďi-l-lə-n,сосать-prog-inch-pst-3sg,,VERB,545,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
353,,,,,,,
"učullən alačidai, gelnerin bəripčelbə.",,,,,,,
"Так, не дождавшись никого, отправился на поиски сгинувших.",,,,,,,
,,,,,,,
učullən,učul-lə-n,-pst-3sg,,VERB,546,,
alačidai,alači-da-i,ждать-purp-poss.refl.sg,alattaj,VERB,,,
",",,,,PUNCT,,,
gelnerin,gel-ne-ri-n,искать-mcp-pst-3sg,gelnedej,VERB,,,
bəripčelbə,bəri-p-če-l-bə,терять-med-ptc.pst-pl-acc,,VERB,547,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
354,,,,,,,
"on-qə təγəčiddən toγ ančindulan našaqu untəlatəi, əšnə-de tullə irbeč-te dudəqaw, arqarin mərəntəw, ɲan urrin noseγčer otərəndulatən.",,,,,,,
"Как сидел у еле тлеющего костра в рваных торбасах, даже давно слинявшую куртку не застегнул, так нараспашку встал на лыжи-голыши и погнал еле заметную лыжню братьев.",,,,,,,
,,,,,,,
on,on,как,on,ADV,,,
qə,qə,emph,,PART,548,,
təγəčiddən,təγəči-d-də-n,сидеть-prog-pst-3sg,,VERB,,,
toγ,toγ,огонь,,NOUN,549,,
ančindulan,ančin-dula-n,около-loc-poss.3sg,ančin,ADP,,,
našaqu,našaqu,рваный,,ADJ,550,,
untəlatəi,untə-la-tə-i,унты-use-ptc.nfut-poss.refl.sg,,NOUN,551,,
",",,,,PUNCT,,,
əšnə,ə-š-nə,neg.aux-nfut-3sg,edej,VERB,,,
de,de,add,,PART,552,,
tullə,tul-lə,застегивать-cvb.neg,,VERB,553,,
irbeč,irbeč,старый,,ADJ,554,,
te,te,add,,PART,555,,
dudəqaw,dudəqa-w,верхняя.одежда-acc,,NOUN,556,,
",",,,,PUNCT,,,
arqarin,arqa-ri-n,воткнуть-pst-3sg,,VERB,557,,
mərəntəw,mərəntə-w,охотничьи.лыжи-acc,,NOUN,558,,
",",,,,PUNCT,,,
ɲan,ɲan,и,ɲan,CCONJ,,,
urrin,ur-ri-n,уходить-pst-3sg,ɵrdej,VERB,,,
noseγčer,noseγ-če-r,молодой-dim2-pl,,ADJ,559,,
otərəndulatən,otərən-dula-tən,дорога-loc-poss.3pl,otaran,NOUN,560,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
355,,,,,,,
"girqəddən, čiltarkittən.",,,,,,,
"Идёт, спотыкается.",,,,,,,
,,,,,,,
girqəddən,girqə-d-də-n,ходить-prog-pst-3sg,,VERB,,,
",",,,,PUNCT,,,
čiltarkittən,čiltarkit-tə-n,спотыкаться-pst-3sg,,VERB,561,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
356,,,,,,,
girqədmi doldərin ŋinəl goγədəlbəw.,,,,,,,
"Так и брёл, пока не услышал злобный лай собак.",,,,,,,
,,,,,,,
girqədmi,girqə-d-mi,ходить-prog-cond.ss,,VERB,562,,
doldərin,doldə-ri-n,слышать-pst-3sg,doldadaj,VERB,,,
ŋinəl,ŋinə-l,собака-pl,,NOUN,,,
goγədəlbəw,goγə-də-l-bə-w,лаять-ptc.nfut-pl-acc-?,,VERB,563,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
357,,,,,,,
"egďemkərəl umekič ŋinəl, iqutəč taŋčiddə quirgəw, čiŋenəken ilqən.",,,,,,,
"Здоровенные, куда там какому зверю до них, рвутся из цепей, захлёбываясь визгом.",,,,,,,
,,,,,,,
egďemkərəl,egďe-mkərə-l,большой-aug.spr-pl,,ADJ,564,,
umekič,umekič,очень,,ADV,,,
ŋinəl,ŋinə-l,собака-pl,,NOUN,,,
",",,,,PUNCT,,,
iqutəč,iqutə-č,тихий-ins,ikutič,ADV,,,
taŋčiddə,taŋči-d-də-∅,тянуть-prog-nfut-3pl,,VERB,565,,
quirgəw,quirgə-w,цепь-acc,,NOUN,566,,
",",,,,PUNCT,,,
čiŋenəken,čiŋe-nəken,визжать-sim.sg,,VERB,567,,
ilqən,ilqən,вот.как,ilken,PART,,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
358,,,,,,,
"čeleďur oɲəkečiddə ďu ančindulan, awgič amnəq ɲurin aγdə atəqaqan.",,,,,,,
"И все вокруг юртушки привязанные, откуда тотчас мигом бойко выскочила бабка древняя.",,,,,,,
,,,,,,,
čeleďur,čele-ďur,все-ins.poss.refl.pl,čeled'ur,ADJ,,,
oɲəkečiddə,oɲə-keči-d-də,привязать-mult-prog-ptc.nfut,,VERB,568,,
ďu,ďu,дом,d'u,NOUN,,,
ančindulan,ančin-dula-n,около-loc-poss.3sg,ančin,ADP,,,
",",,,,PUNCT,,,
awgič,awgič,откуда,awgič,ADV,,,
amnəq,amnəq,скоро,amnak,ADV,,,
ɲurin,ɲu-ri-n,выходить-pst-3sg,ɲɵdej,VERB,,,
aγdə,aγdə,старший.брат,agdi,NOUN,,,
atəqaqan,atəqa-qan,старуха-dim,,NOUN,569,,
.,,,,PUNCT,,,
,,,,,,,
,,,,,,,
359,,,,,,,
"- awgič, mata, muntəki emnəš?",,,,,,,
— Откуда мата — пришелец в наших-то краях?,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
awgič,awgič,откуда,awgič,ADV,,,
",",,,,PUNCT,,,
mata,mata,дружище,mata,NOUN,,,
",",,,,PUNCT,,,
muntəki,mun-təki,мы.inc-dir,,PRON,570,,
emnəš,em-nə-š,приходить-pst-2sg,emdej,VERB,,,
?,,,,PUNCT,,,
,,,,,,,
,,,,,,,
360,,,,,,,
- bi-bəďi awgič emďim!,,,,,,,
— Откуда я могу быть?,,,,,,,
,,,,,,,
-,,,,PUNCT,,,
bi,bi,я,bi,PRON,,,
bəďi,bəďi,pejor,,PART,571,,
awgič,awgič,откуда,awgič,ADV,,,
emďim,em-ďi-m,приходить-fut-1sg,,VERB,572,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
361,,,,,,,
"emnəwu, ɲan tar!",,,,,,,
Прибыл и всё!,,,,,,,
,,,,,,,
emnəwu,em-nə-wu,приходить-pst-1sg,emdej,VERB,,,
",",,,,PUNCT,,,
ɲan,ɲan,и,ɲan,CCONJ,,,
tar,tar,dem.dist,tarak,ADV,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
362,,,,,,,
"awgič, awgič!",,,,,,,
"Откуда, откуда!",,,,,,,
,,,,,,,
awgič,awgič,откуда,awgič,ADV,,,
",",,,,PUNCT,,,
awgič,awgič,откуда,awgič,ADV,,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
363,,,,,,,
"ŋinəlbəi iremkelə, ɲan ulgimidlə!",,,,,,,
"Да угомони вначале своих собак, потом спрашивай!",,,,,,,
,,,,,,,
ŋinəlbəi,ŋinə-l-bə-i,собака-pl-acc-poss.refl.sg,,NOUN,573,,
iremkelə,iremke-lə,успокоить-imp,,VERB,574,,
",",,,,PUNCT,,,
ɲan,ɲan,и,ɲan,CCONJ,,,
ulgimidlə,ulgimid-lə,спрашивать-imp,,VERB,575,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
364,,,,,,,
"jami tačin goγəddə, ičiš uləttə?",,,,,,,
"Что они так надрываются, давно не кормила?",,,,,,,
,,,,,,,
jami,jami,почему,jami,ADV,,,
tačin,tačin,так,tačin,ADV,,,
goγəddə,goγə-d-də-∅,лаять-prog-nfut-3pl,,VERB,576,,
",",,,,PUNCT,,,
ičiš,i-či-š,neg.aux-pst-2sg,,VERB,577,,
uləttə,ulət-tə,кормить-cvb.neg,,VERB,578,,
?,,,,PUNCT,,,
,,,,,,,
,,,,,,,
365,,,,,,,
"ebďendə umekič, jač uləttčočinnə?",,,,,,,
"Интересно, чем ты их кормишь?",,,,,,,
,,,,,,,
ebďendə,ebďen-də,веселье-adj.rel,ebd'endi,ADJ,,,
umekič,umekič,очень,,ADV,,,
",",,,,PUNCT,,,
jač,ja-č,что-ins,,NOUN,,,
uləttčočinnə,ulət-t-čo-či-nnə,кормить-prog-freq-fut-2sg,,VERB,579,,
?,,,,PUNCT,,,
,,,,,,,
,,,,,,,
366,,,,,,,
"kojetlə, irročil nušmatən, mow gaščir!",,,,,,,
"Вон они какие, морды палки просят, а?",,,,,,,
,,,,,,,
kojetlə,kojet-lə,смотреть-imp,kojedej,VERB,,,
",",,,,PUNCT,,,
irročil,irroči-l,который-pl,,PRON,580,,
nušmatən,nušma-tən,морда-poss.3pl,,NOUN,581,,
",",,,,PUNCT,,,
mow,mo-w,дерево-acc,mo,NOUN,,,
gaščir,gašči-r-∅,просить-nfut-3pl,,VERB,582,,
!,,,,PUNCT,,,
,,,,,,,
,,,,,,,
367,,,,,,,
ček!..,,,,,,,
"Чэк, тихо!!!",,,,,,,
,,,,,,,
ček,ček,intj,,INTJ,583,,
!,,,,PUNCT,,,
..,..,,,,,,
,,,,,,,
,,,,,,,
